selection_rank,page_id,title,url,total_views,months_seen,best_rank,score,text_length
1,72417803,ChatGPT,https://en.wikipedia.org/wiki/ChatGPT,63583861,24,5,65983861,34455
2,44534,1989 Tiananmen Square protests and massacre,https://en.wikipedia.org/wiki/1989_Tiananmen_Square_protests_and_massacre,63685983,14,3,65085983,98736
3,60827,Cleopatra,https://en.wikipedia.org/wiki/Cleopatra,54854060,24,4,57254060,82608
4,3524766,YouTube,https://en.wikipedia.org/wiki/YouTube,41343784,24,7,43743784,63548
5,19133401,Google Chrome,https://en.wikipedia.org/wiki/Google_Chrome,39054539,8,3,39854539,62218
6,3434750,United States,https://en.wikipedia.org/wiki/United_States,29807678,24,43,32207678,90863
7,84317,Ansel Adams,https://en.wikipedia.org/wiki/Ansel_Adams,29062810,24,36,31462810,43084
8,31591547,Instagram,https://en.wikipedia.org/wiki/Instagram,28386604,24,12,30786604,81521
9,663704,Lyle and Erik Menendez,https://en.wikipedia.org/wiki/Lyle_and_Erik_Menendez,29209484,12,4,30409484,36331
10,5043734,Wikipedia,https://en.wikipedia.org/wiki/Wikipedia,23131718,24,59,25531718,91553
11,32927,World War II,https://en.wikipedia.org/wiki/World_War_II,22842984,24,58,25242984,85680
12,54520372,Pope Leo XIV,https://en.wikipedia.org/wiki/Pope_Leo_XIV,23609532,11,3,24709532,48716
13,1779163,Limonene,https://en.wikipedia.org/wiki/Limonene,21201413,24,21,23601413,5892
14,7529378,Facebook,https://en.wikipedia.org/wiki/Facebook,20521562,24,5,22921562,81260
15,74699486,Project 2025,https://en.wikipedia.org/wiki/Project_2025,20458015,13,6,21758015,70011
16,69644637,Wordle,https://en.wikipedia.org/wiki/Wordle,18511209,24,64,20911209,17696
17,14533,India,https://en.wikipedia.org/wiki/India,17264430,24,87,19664430,63978
18,5575722,Fuck,https://en.wikipedia.org/wiki/Fuck,18502004,6,11,19102004,19959
19,1092923,Google,https://en.wikipedia.org/wiki/Google,15841173,24,20,18241173,69430
20,5119376,John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy,15361362,24,91,17761362,97966
21,26805,Sex,https://en.wikipedia.org/wiki/Sex,15126744,24,73,17526744,21668
22,80415168,Epstein files,https://en.wikipedia.org/wiki/Epstein_files,17021701,5,4,17521701,60856
23,31717,United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom,14795499,24,158,17195499,93273
24,12153654,Elizabeth II,https://en.wikipedia.org/wiki/Elizabeth_II,14771680,24,125,17171680,54957
25,1687680,Pope Francis,https://en.wikipedia.org/wiki/Pope_Francis,15618780,9,6,16518780,93318
26,71739774,Karoline Leavitt,https://en.wikipedia.org/wiki/Karoline_Leavitt,14773129,17,26,16473129,12146
27,5058690,September 11 attacks,https://en.wikipedia.org/wiki/September_11_attacks,13950310,24,24,16350310,85496
28,32058867,WhatsApp,https://en.wikipedia.org/wiki/WhatsApp,13731093,24,116,16131093,57719
29,9282173,Israel,https://en.wikipedia.org/wiki/Israel,13701654,24,51,16101654,94482
30,125248,Charles III,https://en.wikipedia.org/wiki/Charles_III,13306379,24,134,15706379,64255
31,14653,Iran,https://en.wikipedia.org/wiki/Iran,13714551,17,11,15414551,89482
32,47923,Queen Victoria,https://en.wikipedia.org/wiki/Queen_Victoria,12898704,24,48,15298704,45589
33,70149799,Russo-Ukrainian war (2022–present),https://en.wikipedia.org/wiki/Russo-Ukrainian_war_(2022%E2%80%93present),13197451,17,105,14897451,102223
34,10396793,The Holocaust,https://en.wikipedia.org/wiki/The_Holocaust,12423600,24,45,14823600,56316
35,74998519,Gaza war,https://en.wikipedia.org/wiki/Gaza_war,13551406,12,69,14751406,67350
36,77361269,Usha Vance,https://en.wikipedia.org/wiki/Usha_Vance,13345597,12,21,14545597,10939
37,44220,UEFA Champions League,https://en.wikipedia.org/wiki/UEFA_Champions_League,12119348,24,55,14519348,30992
38,37627,BBC World Service,https://en.wikipedia.org/wiki/BBC_World_Service,12074860,24,136,14474860,37076
39,4764461,World War I,https://en.wikipedia.org/wiki/World_War_I,11912439,24,241,14312439,87867
40,62202727,Kash Patel,https://en.wikipedia.org/wiki/Kash_Patel,12670401,15,21,14170401,39645
41,23123330,Nahui Ollin,https://en.wikipedia.org/wiki/Nahui_Ollin,13646352,4,3,14046352,6158
42,34210,XXX,https://en.wikipedia.org/wiki/XXX,12328171,17,68,14028171,2661
43,5405,China,https://en.wikipedia.org/wiki/China,11418692,24,242,13818692,86891
44,80838096,6-7 meme,https://en.wikipedia.org/wiki/6-7_meme,13244599,5,13,13744599,9567
45,32851,Wiki,https://en.wikipedia.org/wiki/Wiki,11196623,24,126,13596623,25033
46,645042,New York City,https://en.wikipedia.org/wiki/New_York_City,10990766,24,183,13390766,91413
47,5042916,Canada,https://en.wikipedia.org/wiki/Canada,10952999,24,148,13352999,67513
48,4689264,Australia,https://en.wikipedia.org/wiki/Australia,10940986,24,38,13340986,63286
49,40880638,UEFA Euro 2024,https://en.wikipedia.org/wiki/UEFA_Euro_2024,12988319,3,4,13288319,29784
50,25391,Russia,https://en.wikipedia.org/wiki/Russia,10808531,24,266,13208531,92865
51,10979,Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,10744096,24,165,13144096,93493
52,1810023,Biggest ball of twine,https://en.wikipedia.org/wiki/Biggest_ball_of_twine,11590640,12,56,12790640,4700
53,15573,Japan,https://en.wikipedia.org/wiki/Japan,10351384,24,284,12751384,50930
54,81040139,Assassination of Charlie Kirk,https://en.wikipedia.org/wiki/Assassination_of_Charlie_Kirk,11817654,8,12,12617654,65375
55,3526866,Apple Network Server,https://en.wikipedia.org/wiki/Apple_Network_Server,11837308,7,19,12537308,12959
56,11250,Premier League,https://en.wikipedia.org/wiki/Premier_League,10116246,23,50,12416246,65386
57,69880,Napoleon,https://en.wikipedia.org/wiki/Napoleon,9891772,24,255,12291772,86421
58,27318,Singapore,https://en.wikipedia.org/wiki/Singapore,9885020,24,299,12285020,86813
59,307,Abraham Lincoln,https://en.wikipedia.org/wiki/Abraham_Lincoln,9852908,24,279,12252908,74360
60,32611,Vietnam War,https://en.wikipedia.org/wiki/Vietnam_War,9786736,24,192,12186736,96873
61,24113,President of the United States,https://en.wikipedia.org/wiki/President_of_the_United_States,9479468,22,70,11679468,67774
62,11125639,Turkey,https://en.wikipedia.org/wiki/Turkey,9158606,24,275,11558606,69822
63,11867,Germany,https://en.wikipedia.org/wiki/Germany,9127110,24,319,11527110,53597
64,59872594,OnlyFans,https://en.wikipedia.org/wiki/OnlyFans,9329538,21,188,11429538,17351
65,26779,Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union,8966866,24,356,11366866,87962
66,23235,Pakistan,https://en.wikipedia.org/wiki/Pakistan,8956924,24,87,11356924,79561
67,66207654,1xBet,https://en.wikipedia.org/wiki/1xBet,10347459,10,29,11347459,6870
68,14187,Henry VIII,https://en.wikipedia.org/wiki/Henry_VIII,8829587,24,301,11229587,71536
69,11968,George Washington,https://en.wikipedia.org/wiki/George_Washington,8791237,24,329,11191237,62230
70,56822861,TikTok,https://en.wikipedia.org/wiki/TikTok,8993575,21,60,11093575,93894
71,27546,Sexual intercourse,https://en.wikipedia.org/wiki/Sexual_intercourse,8685415,24,319,11085415,59316
72,18514671,Roblox,https://en.wikipedia.org/wiki/Roblox,8599744,24,196,10999744,34023
73,26413,Real Madrid CF,https://en.wikipedia.org/wiki/Real_Madrid_CF,8845565,21,131,10945565,78180
74,42085878,Russo-Ukrainian war,https://en.wikipedia.org/wiki/Russo-Ukrainian_war,9154782,17,162,10854782,86463
75,1095706,Jesus,https://en.wikipedia.org/wiki/Jesus,8437797,24,245,10837797,86213
76,25734,Taiwan,https://en.wikipedia.org/wiki/Taiwan,8326651,24,403,10726651,89690
77,33265,Winston Churchill,https://en.wikipedia.org/wiki/Winston_Churchill,8320084,24,389,10720084,95381
78,2589713,Chernobyl disaster,https://en.wikipedia.org/wiki/Chernobyl_disaster,8513163,22,148,10713163,92026
79,46755,George VI,https://en.wikipedia.org/wiki/George_VI,8242699,24,343,10642699,26961
80,30535,Theodore Roosevelt,https://en.wikipedia.org/wiki/Theodore_Roosevelt,8301555,23,205,10601555,96553
81,23440,Philippines,https://en.wikipedia.org/wiki/Philippines,8148529,24,350,10548529,65172
82,290,A,https://en.wikipedia.org/wiki/A,8141673,24,331,10541673,10530
83,29812,The Beatles,https://en.wikipedia.org/wiki/The_Beatles,8125877,24,467,10525877,96908
84,9988187,X (social network),https://en.wikipedia.org/wiki/X_(social_network),8392206,21,279,10492206,86618
